"grdc_ids"	"basin_size"	"reservoir_area"	"water_stress"	"aridity"	"mean_precipitation_as_snow"	"globalLakes"	"globalWetlands"	"localLakes"	"localWetlands"	"open_water"	"wetland"	"lakes"	"global_waterbodies"	"local_waterbodies"	"batjes"	"mean_temperature"	"sum_precipitation"
"1"	"X4119327"	3257.71100616455	0	0.770721223112419	0.751815815757632	0.154683823475185	0	0	0.15981844149226	0	0.15981844149226	0	0.15981844149226	0	0.15981844149226	145.012034205661	11.1875915958175	1098.15631853152
"2"	"X4145900"	10268.5293655396	15	0.093570859991329	0.78973217577572	0.0423655836143374	0.153332543844146	0	0.123148141961397	0.471334291680422	0.747814977485965	0.471334291680422	0.276480685805543	0.153332543844146	0.594482433641819	147.586565537559	9.72558413398765	1075.8732215189
"4"	"X4149420"	9763.48114013672	0	0.0287646981566412	0.967713656258589	0.001052086855326	0.0597529473267178	0	0.0971541064874398	17.3404876007936	17.4973946546078	17.3404876007936	0.156907053814158	0.0597529473267178	17.4376417072811	112.33238212295	18.8374420983897	1540.57616482134
"5"	"X4356280"	9729.81411743164	12	0.214306185676737	0.540390904850677	0	0.123836027375499	0	0.0082401881469413	0	0.132076215522441	0	0.132076215522441	0.123836027375499	0.0082401881469413	158.30082579478	21.0438090894121	847.83836196778
"6"	"X4145700"	9476.68437957764	2	0.0431810580240508	1.02656379917237	0.0393449470187346	0.039554107538718	0	0.164405560143672	0.222648969000155	0.426608636682545	0.222648969000155	0.20395966768239	0.039554107538718	0.387054529143827	148.922226918285	10.0433305888489	1251.39608963481
"7"	"X4148230"	9359.19532775879	44	0.180331484020734	0.827652196872944	0.024469054355042	1.03652827078397	0	0.458634910603076	0	1.49516318138705	0	1.49516318138705	1.03652827078397	0.458634910603076	124.485963548004	15.2046954550713	1227.69067256735
"8"	"X4146180"	9055.25214385986	7	0.0191706261700132	1.02448384225911	0.000741428858264553	0.0801985392734063	0	0.029179740108504	0	0.10937827938191	0	0.10937827938191	0.0801985392734063	0.029179740108504	138.002402861241	11.7178121627949	1412.35136056571
"9"	"X4145080"	8932.07804489136	61	0.0368077809201781	1.78604738439936	0.234746031698195	1.44879549972599	0.875567408358156	0.196219891659299	2.40136797051773	4.92195077026117	3.27693537887589	1.64501539138529	2.32436290808414	2.59758786217703	209.789795187768	4.92694187772164	1719.92609393946
"11"	"X4236600"	8829.55893707275	0	0.0837293473798872	1.08274659486687	0.246282812964274	4.75484124018576	0	3.07116406620309	0	7.82600530638885	0	7.82600530638885	4.75484124018576	3.07116406620309	112.09891867683	6.00568151257322	1010.84126090972
"13"	"X4147110"	8146.68902587891	153	0.0409903560245367	1.26786656489736	0.30956304907768	2.35746866174237	0	1.76293360458466	14.5852368859253	18.7056391522523	14.5852368859253	4.12040226632703	2.35746866174237	16.34817049051	134.052035745506	4.47592270541584	1287.34394339034
