"grdc.id"	"basin.set"	"reservoir"	"capacity_km3"	"surface.area_km2"	"mean.depth_m"	"mean.inflow_km3d"
"1"	"X4149121"	"behavioural"	"non-irrigation"	4.20620012283325	89	47.2606755374523	0.332711964845657
"2"	"X4147380"	"behavioural"	"non-irrigation"	0.0653999969363213	26	2.51538449755082	0.00463970238342881
"3"	"X4147380"	"behavioural"	"non-irrigation"	0.0122999995946884	1	12.2999995946884	0.0215455144643784
"4"	"X4147380"	"behavioural"	"non-irrigation"	0.256599992513657	181	1.41767951665004	0.0434174351394176
"5"	"X4147380"	"behavioural"	"non-irrigation"	0.189999997615814	13	14.6153844319857	0.140462800860405
"6"	"X4147380"	"behavioural"	"non-irrigation"	0.19370000064373	1	193.70000064373	0.0677987784147263
"7"	"X4147380"	"behavioural"	"non-irrigation"	0.0690999999642372	10	6.90999999642372	0.00356991472654045
"8"	"X4147380"	"behavioural"	"non-irrigation"	0.0244999993592501	2	12.249999679625	0.664811432361603
"9"	"X4147380"	"behavioural"	"non-irrigation"	0.0153000000864267	1	15.3000000864267	0.0036142198368907
"10"	"X4147380"	"behavioural"	"non-irrigation"	0.282499998807907	16	17.6562499254942	0.0183721408247948
"11"	"X4147380"	"behavioural"	"non-irrigation"	0.0406999997794628	4	10.1749999448657	0.00698255561292171
"12"	"X4147701"	"behavioural"	"non-irrigation"	0.425900012254715	16	26.6187507659197	0.0115535110235214
"13"	"X4149441"	"behavioural"	"non-irrigation"	0.583199977874756	9	64.7999975416395	0.0814280956983566
"14"	"X4149441"	"behavioural"	"non-irrigation"	0.0294000003486872	1	29.4000003486872	0.00253679929301143
"15"	"X4149441"	"behavioural"	"non-irrigation"	0.826499998569489	36	22.9583332935969	0.121385827660561
"16"	"X4149670"	"additional"	"non-irrigation"	3.15030002593994	133	23.6864663604507	0.153200477361679
"17"	"X4149670"	"additional"	"non-irrigation"	0.0592000000178814	3	19.7333333392938	0.00512868026271462
"18"	"X4149670"	"additional"	"non-irrigation"	0.746299982070923	89	8.38539305697666	0.383240312337875
"19"	"X4147901"	"behavioural"	"non-irrigation"	0.0392000004649162	0	0	0.0112506961449981
"20"	"X4147901"	"behavioural"	"non-irrigation"	0.161500006914139	3	53.8333356380463	0.0437425673007965
"21"	"X4147901"	"behavioural"	"non-irrigation"	0.066600002348423	4	16.6500005871058	0.00209884741343558
"22"	"X4147460"	"behavioural"	"non-irrigation"	0.140599995851517	10	14.0599995851517	0.0100507494062185
"23"	"X4147460"	"behavioural"	"non-irrigation"	0.162000000476837	6	27.0000000794729	0.031681627035141
"24"	"X4147460"	"behavioural"	"non-irrigation"	0.0397999994456768	3	13.2666664818923	0.223589882254601
"25"	"X4147460"	"behavioural"	"non-irrigation"	0.0983999967575073	3	32.7999989191691	0.425302058458328
"26"	"X4147460"	"behavioural"	"non-irrigation"	0.0504000000655651	15	3.36000000437101	0.00315946154296398
"27"	"X4147460"	"behavioural"	"non-irrigation"	0.0684999972581863	3	22.8333324193954	0.745109498500824
"28"	"X4147460"	"behavioural"	"non-irrigation"	0.234400004148483	4	58.6000010371208	0.00481313141062856
"29"	"X4147460"	"behavioural"	"non-irrigation"	0.392199993133545	5	78.439998626709	0.0211160518229008
"30"	"X4147460"	"behavioural"	"non-irrigation"	0.066600002348423	4	16.6500005871058	0.922024011611938
"31"	"X4147460"	"behavioural"	"non-irrigation"	0.0209999997168779	0	0	0.00329396314918995
"32"	"X4147460"	"behavioural"	"non-irrigation"	0.0500999987125397	0	0	0.022612851113081
"33"	"X4147460"	"behavioural"	"non-irrigation"	0.0305000003427267	1	30.5000003427267	0.00379560072906315
"34"	"X4147460"	"behavioural"	"non-irrigation"	2.23259997367859	96	23.2562497258186	0.0184558406472206
"35"	"X4147460"	"behavioural"	"non-irrigation"	0.119000002741814	4	29.7500006854534	0.00383926066569984
"36"	"X4148321"	"behavioural"	"non-irrigation"	0.377400010824203	5	75.4800021648407	0.0411351099610329
"37"	"X4152301"	"behavioural"	"non-irrigation"	0.0438000001013279	1	43.8000001013279	0.00156647863332182
"38"	"X4152301"	"behavioural"	"irrigation"	0.0676999986171722	3	22.5666662057241	0.00393387721851468
"39"	"X4152301"	"behavioural"	"irrigation"	0.0247000008821487	1	24.7000008821487	0.00402193609625101
"40"	"X4125915"	"behavioural"	"non-irrigation"	0.0142000000923872	0	0	0.00671565486118197
"41"	"X4125915"	"behavioural"	"non-irrigation"	0.0120000001043081	2	6.00000005215406	0.00212948047555983
"42"	"X4243050"	"behavioural"	"non-irrigation"	0.23199999332428	25	9.27999973297119	0.549922168254852
"43"	"X4243050"	"behavioural"	"non-irrigation"	0.610000014305115	180	3.38888896836175	0.511246204376221
"44"	"X4243050"	"behavioural"	"non-irrigation"	9.26599979400635	323	28.6873058637967	0.879322707653046
"45"	"X4243050"	"behavioural"	"non-irrigation"	1.87489998340607	63	29.7603171969217	0.32088315486908
"46"	"X4243050"	"behavioural"	"non-irrigation"	1.30050003528595	379	3.43139850998931	0.0574250146746635
"47"	"X4243050"	"behavioural"	"non-irrigation"	0.171000003814697	12	14.2500003178914	0.270537406206131
"48"	"X4243050"	"behavioural"	"non-irrigation"	0.438499987125397	7	62.6428553036281	1.69026279449463
"49"	"X4147110"	"behavioural"	"non-irrigation"	0.396200001239777	25	15.8480000495911	0.0501999706029892
"50"	"X4147110"	"behavioural"	"non-irrigation"	0.236900001764297	59	4.01525426719148	0.0426765345036983
